,,DASE_C,,,,DASE_O,,,,AD_S,,,,POET_S,,,,NREL_S,,,,AD_N,,,,POET_N,,,,NREL_N,,,,CS_N,,,,GWC16,,,,GWC20,,,
,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
30,2118,1138.812366,999.4528098,284.5319327,2724.908437,1132.646952,984.3900174,285.8883766,516.4418493,1181.280108,1014.76523,268.5836552,2025.406177,964.3457826,718.9593362,94.51805888,188.8957736,1243.611491,1313.196863,211.3369533,2955.731472,834.8048612,679.244917,163.0288687,1457.740996,641.1722692,534.0784309,61.7928478,157.5201422,868.2258526,897.8259622,138.2357153,1591.074432,870.8696233,1325.74876,375.5178823,518.1294621,395.5811345,346.5172197,56.79734518,83.34117893,392.3527066,336.5515392,62.86727392,139.5910766
31,2191,1144.727044,1012.890055,284.532775,2724.908438,1138.948639,997.7067631,285.889212,516.4418826,1184.077198,1028.088039,268.5841357,2025.406356,977.4536743,733.0842197,94.51879712,188.895774,1247.843771,1324.689128,211.3377117,2955.731472,838.4285481,689.1380483,163.0294829,1457.740998,651.5125387,544.5219085,61.79348151,157.5201443,872.2253851,905.6827644,138.2362584,1591.074433,872.3005902,1327.47328,375.5194596,518.1764521,402.0195775,353.1677678,56.79747575,83.34526906,398.7109185,343.1167844,62.86739206,139.7686311
32,2264,1150.062591,1025.966415,284.5336173,2724.908438,1144.651739,1010.683104,285.8900475,516.441903,1186.512295,1040.928794,268.5846161,2025.406534,989.8586228,746.8451307,94.51953535,188.8957743,1251.588207,1335.459119,211.3384702,2955.731472,841.6702841,698.7193986,163.0300971,1457.741,661.3895832,554.6783477,61.79411523,157.5201456,875.8131884,913.0179586,138.2368016,1591.074433,873.5267986,1328.963626,375.5208619,518.2123055,408.172711,359.5926443,56.79760613,83.34834263,404.7859172,349.4658024,62.86750737,139.9194102
33,2337,1154.875712,1038.691583,284.5344596,2724.908438,1149.813112,1023.327742,285.8908829,516.4419156,1188.632248,1053.304937,268.5850966,2025.406713,1001.598325,760.2514483,94.52027358,188.8957746,1254.901031,1345.552229,211.3392287,2955.731472,844.5703282,707.9987937,163.0307113,1457.741002,670.8241546,564.5556377,61.79474894,157.5201461,879.0316478,919.8661741,138.2373447,1591.074433,874.5775476,1330.251597,375.5221504,518.2396616,414.0531781,365.7995068,56.7977364,83.35065643,410.5903178,355.6057143,62.86762099,140.0474507
34,2410,1159.217559,1051.074991,284.5353019,2724.908438,1154.484215,1035.649156,285.8917183,516.4419233,1190.477842,1065.23328,268.585577,2025.406892,1012.708457,773.3123096,94.52101181,188.895775,1257.831994,1355.011,211.3399872,2955.731472,847.1646962,716.9857495,163.0313255,1457.741004,679.8360746,574.161451,61.79538266,157.5201464,881.9187851,926.259741,138.2378879,1591.074433,875.4779438,1331.364672,375.5233649,518.2605344,419.6730615,371.7957533,56.79786662,83.35240243,416.1361736,361.5434064,62.86773358,140.1561836
35,2483,1163.134278,1063.125818,284.5361442,2724.908439,1158.711618,1047.655608,285.8925538,516.4419282,1192.084583,1076.730025,268.5860575,2025.407071,1023.22278,786.0366164,94.52175004,188.8957753,1260.425111,1363.875298,211.3407457,2955.731472,849.4856076,725.6894823,163.0319397,1457.741006,688.4442773,583.5032489,61.79601637,157.5201466,884.508708,932.2288432,138.238431,1591.074433,876.2495015,1332.326602,375.5245312,518.2764603,425.0439087,377.5885304,56.7979968,83.35372406,421.4350008,367.2855407,62.86784558,140.2485166
36,2556,1166.667494,1074.852995,284.5369865,2724.908439,1162.537467,1059.35515,285.8933892,516.4419311,1193.483383,1087.810788,268.5865379,2025.407249,1033.173246,798.4330411,94.52248827,188.8957756,1262.719326,1372.182487,211.3415041,2955.731472,851.5618857,734.1189179,163.0325539,1457.741008,696.6668486,592.5882881,61.79665008,157.5201467,886.832013,937.8016606,138.2389742,1591.074433,876.9106562,1333.15791,375.5256663,518.2886119,430.1767551,383.1847425,56.79812697,83.35472865,426.4978029,372.8385587,62.86795723,140.3269256
37,2629,1169.854758,1086.265215,284.5378287,2724.908439,1165.999905,1070.755626,285.8942247,516.441933,1194.701155,1098.49062,268.5870184,2025.407428,1042.590095,810.5100326,94.5232265,188.8957759,1264.749093,1379.967579,211.3422626,2955.731472,853.4193159,742.2827007,163.0331681,1457.74101,704.5210639,601.4236255,61.79728379,157.5201469,888.9161471,943.0045023,138.2395173,1591.074433,877.4772056,1333.876333,375.5267809,518.2978836,435.0821476,388.5910596,56.79825712,83.35549633,431.3350931,378.2086873,62.86806869,140.3935119
38,2702,1172.729943,1097.370937,284.538671,2724.908439,1169.133452,1081.864681,285.8950601,516.4419338,1195.761325,1108.784029,268.5874988,2025.407607,1051.501941,822.2758222,94.52396472,188.8957763,1266.544893,1387.263387,211.3430211,2955.731472,855.0809656,750.1892029,163.0337823,1457.741012,712.023425,610.016124,61.79791751,157.5201467,890.7857313,947.8619308,138.2400605,1591.074433,877.9626868,1334.497201,375.5278823,518.3049579,439.7701653,393.8139252,56.79838726,83.35608692,435.9569163,383.40195,62.86818002,140.4500579
39,2775,1175.323607,1108.178392,284.5395133,2724.90844,1171.969349,1092.689765,285.8958955,516.4419343,1196.68429,1118.704996,268.5879793,2025.407786,1059.935867,833.7384289,94.52470295,188.8957766,1268.133695,1394.100663,211.3437796,2955.731472,856.5674708,757.8465325,163.0343965,1457.741014,719.1896942,618.3724583,61.79855122,157.5201467,892.4628525,952.3968778,138.2406036,1591.074433,878.3787001,1335.033761,375.5289751,518.3103558,444.2504408,398.8595646,56.79851741,83.35654517,440.3728702,388.4241717,62.86829129,140.4980776
