"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"34",2410,1160.2780241643,43924.3296265913,43924.019176073,1155.59508227125,43968.0441639948,44008.4067879325,1191.06695524653,43863.1293259522,43859.0336003604,1016.61998800752,45135.980752534,45144.4258295046,1259.05340373886,49237.9629481541,49250.9147775077,847.937186669881,21930.2940463734,21943.6223758092,683.256597409225,23315.3129244192,23327.8152830451,883.241586969611,24764.4695822415,24775.2229054966,876.115794139574,23757.9942016723,23770.4668033383,422.272571994995,422.685208741747,422.687515784142,418.581186454295,NA,NA
"35",2483,1164.11949836289,43929.5966182847,43929.2860313622,1159.74703646631,43973.3075805962,44013.6700711762,1192.6126385419,43868.3945197411,43864.2975100198,1027.03555984626,45141.2373867072,45149.6812080727,1261.53755584878,49243.2225671982,49256.1731203106,850.197233772764,21935.5665281217,21948.8935600572,691.809663860738,23320.5777561873,23333.0788832613,885.730303413451,24769.7302328563,24780.4822811656,876.81161545905,23763.2615928717,23775.732957679,427.602671475371,428.008636088335,428.010954665347,423.841143034979,NA,NA
"36",2556,1167.58201718113,43934.6263713377,43934.315654155,1163.50172651808,43978.3339195884,44018.6962828173,1193.95630322831,43873.4225558715,43869.3243198614,1036.88655322479,45146.2572487688,45154.699871085,1263.73165137184,49248.2452796832,49261.194614041,852.216876136887,21940.6015239596,21953.9273168214,699.975123381875,23325.6054466033,23338.1053975978,887.959169687703,24774.7539304488,24785.5047612393,877.405601280342,23768.2917274357,23780.7619110959,432.693230379831,433.092282789709,433.094612373339,428.863644184204,NA,NA
"37",2629,1170.70296397051,43939.4295715792,43939.1187300036,1166.89716315407,43983.133859547,44023.4961011612,1195.1243528507,43878.224116525,43874.1247094612,1046.20357124801,45151.0510035342,45159.4924808093,1265.66955813087,49253.0417564816,49265.9899269807,854.021685989637,21945.4097308508,21958.7343404369,707.770541501131,23330.4066771143,23342.9055050029,889.955317091635,24779.5513479831,24790.3010160948,877.912655528394,23773.095292004,23785.5643477188,437.555013927248,437.94694917336,437.949289259603,433.659409587782,NA,NA
"38",2702,1173.5160342738,43944.0164235219,43943.7054631564,1169.96772018808,43987.7175980582,44028.0797235354,1196.13974004824,43882.8094027309,43878.7088773606,1055.01555817252,45155.6288354489,45164.0692192585,1267.38118944649,49257.6221878221,49270.5692468857,855.634515400648,21950.00136393,21963.3248435391,715.212687714301,23334.9916480478,23347.4894034183,891.74304410974,24784.1326776864,24794.8812354893,878.345500894845,23777.6824918633,23790.1504704383,442.198303535629,442.582949092982,442.585299200435,438.238675002128,NA,NA
"39",2775,1176.05159962152,43948.3966720412,43948.0855982362,1172.74448250466,43992.0948733827,44032.4568879542,1197.0224175828,43887.1881560374,43883.0865627326,1063.34988932485,45160.0004702243,45168.4398098216,1268.89296587584,49261.9963049388,49274.9423026292,857.075785629232,21954.3861782266,21967.7085787604,722.317571559003,23339.3701002827,23351.8668314446,893.344112189667,24788.5076527018,24799.2551502072,878.714998067898,23782.0630726274,23794.5300225804,446.632918564665,447.010131839805,447.01249150901,442.611214100762,NA,NA
"40",2848,1178.33703544055,43952.579623078,43952.2684409433,1175.2555607479,43996.2749851451,44036.6368938062,1197.78973041863,43891.3696792094,43887.2670660729,1071.23245614568,45164.175195502,45172.613537921,1270.22822303753,49266.1734007467,49279.1183848711,858.363745693465,21958.5734893853,21971.8948594494,729.100477054381,23343.5513359443,23356.0470890307,894.778010637585,24792.6855677668,24803.432052733,879.030418242135,23786.2463409437,23798.7123086067,450.868237081145,451.237903067733,451.240271860488,446.786359334577,NA,NA
"41",2921,1180.39701661501,43956.5741634104,43956.2628778253,1177.52637590052,44000.2668140911,44040.6286216123,1198.45675655782,43895.3628559915,43891.2592689592,1078.68774662421,45168.1618805841,45176.5992707405,1271.4075718177,49270.1623495843,49283.1063657965,859.514703434879,21962.5721934484,21975.8925794579,735.575995580067,23347.5442381664,23360.0390572321,896.062193855474,24796.6752989603,24807.4208169946,879.29967574549,23790.2411842644,23802.7062138822,454.913215691146,455.275244776276,455.277622274592,450.773021850392,NA,NA
"42",2994,1182.25378389053,43960.3887795334,43960.0773951576,1179.57991663396,44004.0788409554,44044.4405518924,1199.03660332903,43899.1761699822,43895.0716529205,1085.73892137256,45171.9689952775,45180.4054760632,1272.44921651746,49273.9716260677,49286.9147179648,860.543232004443,21966.3907857573,21979.7102320364,741.75805726515,23351.3572899638,23363.8512170794,897.212293808161,24800.4853225601,24811.2299172157,879.529526620718,23794.0560897286,23806.520223553,458.776408480943,459.130734393089,459.133120198123,454.57971051029,NA,NA
"43",3067,1183.92738399826,43964.0315756886,43963.720096972,1181.43697203499,44007.7191644788,44048.0807831819,1199.54066495171,43902.817722657,43898.7123174564,1092.40788557656,45175.6046278869,45184.0402402623,1273.36923585252,49277.6093230948,49290.5515323098,861.462354384305,21970.0373790008,21983.3559278779,747.659960954649,23354.9985922551,23367.4916675962,898.242310306387,24804.1237330511,24814.8674459196,879.725738143833,23797.6991621928,23810.1624405724,462.4659851067,462.812562996348,462.814956727948,458.214550052368,NA,NA
