"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"110",7958,1199.20455022806,1198.96789769442,1202.89299420945,1205.98963265739,1280.32690581215,869.179786646893,866.430897342038,907.071818921133,880.870171775796,537.273774552036,531.615626681807
"111",8031,1199.20598392987,1198.96988694506,1202.8930310279,1206.14037947798,1280.32710399093,869.18022522636,866.682890894928,907.072389385963,880.870175942378,537.435592578596,531.772757533378
"112",8104,1199.20727619929,1198.97168586177,1202.89306303418,1206.28295503258,1280.32727902982,869.180617153462,866.923464631539,907.072900287826,880.870179498606,537.590138323762,531.922794871233
"113",8177,1199.2084409884,1198.97331265592,1202.89309085726,1206.41780224654,1280.32743363069,869.180967390681,867.153136073854,907.073357845769,880.870182534043,537.737738611918,532.066058924888
"114",8250,1199.20949087292,1198.97478379642,1202.89311504382,1206.54534003635,1280.32757017993,869.181280372634,867.372399290856,907.073767629498,880.870185124663,537.878705579596,532.202855467424
"115",8323,1199.21043718802,1198.97611417639,1202.89313606915,1206.66596461101,1280.32769078526,869.18156006222,867.58172596136,907.074134627181,880.870187339205,538.013337335569,532.333476468103
"116",8396,1199.21129015064,1198.97731726398,1202.89315434671,1206.78005070294,1280.3277973083,869.181810000798,867.781566388696,907.074463306164,880.87018922265,538.141918591268,532.45820071553
"117",8469,1199.21205896987,1198.97840523868,1202.8931702356,1206.88795273209,1280.32789139333,869.18203335303,867.972350469394,907.074757667351,880.870190836402,538.264721262879,532.577294412679
"118",8542,1199.2127519463,1198.97938911462,1202.89318404808,1206.99000590701,1280.32797449267,869.182232946944,868.15448861798,907.075021293909,880.870192268029,538.382005046374,532.691011745061
"119",8615,1199.21337656172,1198.98027885211,1202.89319605545,1207.08652726617,1280.32804788905,869.182411309751,868.328372649861,907.075257394878,880.870193352767,538.4940179667,532.799595423236
"120",8688,1199.21393955983,1198.98108345843,1202.89320649365,1207.17781666293,1280.3281127154,869.182570699827,868.494376624195,907.075468844242,880.870194278472,538.600996902285,532.903277200843
"121",8761,1199.21444701907,1198.98181107903,1202.89321556772,1207.26415769699,1280.32816997241,869.182713135335,868.652857648569,907.075658215905,880.870195068462,538.703168085982,533.002278369236
"122",8834,1199.21490441827,1198.98246908,1202.89322345594,1207.34581859551,1280.32822054389,869.182840419767,868.804156647206,907.07582781503,880.870195742632,538.800747583488,533.096810229795
