,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
31,30,49.72368113,108.8621835,121.2209658,112.8795222,48.18364269,106.1498236,118.2964089,104.9864369,66.59725041,139.097395,146.7986415,139.9065354,27.07284042,50.39482126,52.07775027,49.09927972,62.84432744,109.7793292,117.9356421,107.4331572,38.88901643,81.87112831,87.75617633,82.11460384,16.27050528,28.63514886,27.96281966,26.93890756,39.60617561,63.14479344,65.68105516,61.90690772,54.16441884,58.48510179,60.84354035,60.34907745,9.981514241,12.78131906,12.70683511,12.79584743,9.926712755,12.3215855,12.11829352,12.16723309
32,31,51.34514554,109.3803295,122.0499667,114.0310939,49.75597522,106.633084,119.0490799,105.566183,68.75249376,140.3286689,148.6618022,141.8037043,27.96474951,51.00918565,53.10964717,49.8344163,64.88515203,110.9470456,120.215608,109.2367259,40.15490897,82.53022794,88.82188124,83.22072874,16.8075952,29.00930404,28.62690116,27.41006331,40.89617,63.99978803,67.1949674,63.08209545,55.9113675,60.1303574,62.69219442,62.14606521,10.31103996,13.11846146,13.07741652,13.15848137,10.25441252,12.66335892,12.47922366,12.50970459
33,32,52.96432274,109.8815592,122.8110875,115.1299962,51.32615948,107.1014011,119.737793,106.1335748,70.90364918,141.4969808,150.4250526,143.6243772,28.85598542,51.60478231,54.10982689,50.55790584,66.92255566,112.0961994,122.4224474,111.0124758,41.41887149,83.15760725,89.82816159,84.28518746,17.34434802,29.37713478,29.27729434,27.87741392,42.18424607,64.84547561,68.67508719,64.24439205,57.65462458,61.77232709,64.52998543,63.9321725,10.64036114,13.45198905,13.44488024,13.51774464,10.5819078,13.00195144,12.83758569,12.84932972
34,33,54.58121594,110.3683851,123.5098866,116.1786381,52.89419842,107.5570608,120.3679829,106.6901694,73.05072444,142.6079593,152.0937504,145.3716384,29.74654865,52.18333653,55.07926429,51.27032586,68.95654406,113.2292188,124.5585057,112.7608358,42.68090693,83.75642828,90.77833094,85.30954952,17.88076395,29.73937494,29.91428135,28.34101383,43.47040668,65.68304634,70.12216883,65.39393891,59.3941979,63.41101744,66.35697724,65.70760151,10.96947791,13.78204006,13.80925251,13.87369534,10.90919873,13.33745417,13.1933979,13.18619106
35,34,56.19582837,110.8429432,124.1514671,117.1793181,54.46009497,108.0019962,120.9446227,107.2372591,75.19372728,143.6667281,153.6729657,147.0484481,30.63643971,52.74641373,56.01890433,51.97217544,70.98712296,114.348198,126.6260533,114.4822285,43.94101824,84.32953638,91.67551813,86.2953253,18.41684319,30.09667153,30.53813852,28.80091075,44.75465466,66.51352513,71.53694976,66.53087591,61.13009522,65.04643499,68.17323328,67.47254747,11.2983904,14.10874726,14.17055933,14.22639034,11.23628543,13.66995553,13.54667841,13.52036819
36,35,57.80816324,111.3070492,124.7405141,118.13423,56.02385204,108.4378419,121.472263,107.7759166,77.33266541,144.6779505,155.1674972,148.6576468,31.52565911,53.29543429,56.92966287,52.66388792,73.01429806,115.4549431,128.6272873,116.1770699,45.19920833,84.87949191,92.52267751,87.24396828,18.95258597,30.44959504,31.14913651,29.25714737,46.03699287,67.33779457,72.92015098,67.65534136,62.86232433,66.67858628,69.97881665,69.22719893,11.62709873,14.43223814,14.52882649,14.57588523,11.56316804,13.99954134,13.89744526,13.85193784
37,36,59.41822377,111.762247,125.2813292,119.0454672,57.58547257,108.8659802,121.9550675,108.3070337,79.46754656,145.6458712,156.5818858,150.2019608,32.41420735,53.831687,57.81242765,53.34584145,75.03807509,116.5510117,130.5643349,117.8457694,46.45548016,85.40859878,93.32259868,88.15687722,19.48799249,30.79864843,31.74754036,29.70976256,47.31742415,68.15661472,74.2724774,68.76747206,64.59089297,68.30747784,71.77379007,70.97173803,11.95560303,14.7526352,14.88407956,14.92223441,11.88984667,14.32629484,14.24571631,14.18097398
38,37,61.02601317,112.2098489,125.7778618,119.915027,59.14495947,109.2875798,122.3968462,108.8313514,81.59837841,146.5743541,157.9204292,151.6840062,33.30208494,54.35634123,58.66805912,54.01836788,77.05845972,117.6377472,132.4392546,119.4887303,47.70983663,85.91893017,94.07791572,89.03539815,20.02306296,31.14427519,32.33360968,30.15879229,48.59595133,68.97064013,75.59461819,69.86740333,66.31580887,69.93311617,73.55821588,72.70634071,12.28390343,15.07005609,15.23634391,15.2654911,12.21632146,14.65029682,14.59150934,14.50754789
39,38,62.63153464,112.6509707,126.2337378,120.7448158,60.70231566,109.7036292,122.8010853,109.3494871,83.72516864,147.4669159,159.1871945,153.1062939,34.18929239,54.87045803,59.49739129,54.68176016,79.07545766,118.7163082,134.2540392,121.1063496,48.96228067,86.4123516,94.79111579,89.88082643,20.5577976,31.48686629,32.90759872,30.60427036,49.87257724,69.78043451,76.88724712,70.95526898,68.03707976,71.55550777,75.33215606,74.43117698,12.61200005,15.38461379,15.58564467,15.60570734,12.54259253,14.9716257,14.93484197,14.83172832
40,39,64.23479138,113.0865608,126.6522865,121.5366525,62.25754405,110.1149641,123.1709747,109.861955,85.84792493,148.3267577,160.3860307,154.4712334,35.0758302,55.37500011,60.3012325,55.33627851,81.08907457,119.7876941,136.0106173,122.6990182,50.2128152,86.89054177,95.46454741,90.69440862,21.09219662,31.8267665,33.46975649,31.04622885,51.14730471,70.58648332,78.15102296,72.03120137,69.75471334,73.17465912,77.09567222,76.14641111,12.93989302,15.69641686,15.93200679,15.94293407,12.86866001,15.29035753,15.27573171,15.15358153
